countrycode,language,isofficial,percentage
FSM,Yap,FALSE,5.8000002
MDA,Bulgariana,FALSE,1.6
MNG,Buryat,FALSE,1.7
MOZ,Shona,FALSE,6.5
MMR,Mon,FALSE,2.4000001
NAM,Herero,FALSE,8
NRU,English,TRUE,7.5
NPL,Tamang,FALSE,4.9000001
NER,Kanuri,FALSE,4.4000001
NGA,Ibibio,FALSE,5.5999999
NOR,Saame,FALSE,0
CIV,[South]Mande,FALSE,7.6999998
PAK,Urdu,TRUE,7.5999999
PAN,Embera,FALSE,0.60000002
MNP,English,TRUE,4.8000002
FRA,Spanish,FALSE,0.40000001
REU,Tamil,FALSE,0
ROM,Ukrainian,FALSE,0.30000001
SWE,Spanish,FALSE,0.60000002
DEU,Greek,FALSE,0.40000001
ZMB,Chewa,FALSE,5.6999998
SEN,Malinke,FALSE,3.8
SLE,Bullom-sherbro,FALSE,3.8
SVK,Ukrainian and Russian,FALSE,0.60000002
SDN,Nuer,FALSE,4.9000001
FIN,Saame,FALSE,0
TWN,Atayal,FALSE,0.40000001
TZA,Makonde,FALSE,5.9000001
DNK,English,FALSE,0.30000001
THA,Khmer,FALSE,1.3
TGO,Ane,FALSE,5.6999998
TCD,Ouaddai,FALSE,8.6999998
CZE,German,FALSE,0.5
UGA,Teso,FALSE,6
UKR,Hungarian,FALSE,0.30000001
HUN,Romanian,FALSE,0.1
UZB,Karakalpak,FALSE,2
RUS,Bashkir,FALSE,0.69999999
VNM,Chinese,FALSE,1.4
EST,Finnish,FALSE,0.69999999
USA,Italian,FALSE,0.60000002
AGO,Chokwe,FALSE,4.1999998
AUS,Vietnamese,FALSE,0.80000001
BGD,Santhali,FALSE,0.1
BEL,Turkish,FALSE,0.89999998
BEN,Somba,FALSE,6.6999998
BFA,Dyula,FALSE,2.5999999
ERI,Saho,FALSE,3
ZAF,Tswana,FALSE,8.1000004
ETH,Sidamo,FALSE,3.2
PHL,Waray-waray,FALSE,3.8
GEO,Abhyasi,FALSE,1.7
GHA,Joruba,FALSE,1.3
GIN,Yalunka,FALSE,2.9000001
GNB,Mandyako,FALSE,4.9000001
IDN,Batakki,FALSE,2.2
IND,Urdu,FALSE,5.0999999
IRN,Mazandarani,FALSE,3.5999999
ITA,Albaniana,FALSE,0.2
AUT,Polish,FALSE,0.2
JPN,Ainu,FALSE,0
YUG,Macedonian,FALSE,0.5
CMR,Mandara,FALSE,5.6999998
CAN,Polish,FALSE,0.69999999
KAZ,Tatar,FALSE,2
KEN,Gusii,FALSE,6.0999999
CAF,Mbum,FALSE,6.4000001
CHN,Uighur,FALSE,0.60000002
KGZ,Kazakh,FALSE,0.80000001
COG,Sango,FALSE,2.5999999
COD,Ngala and Bangi,FALSE,5.8000002
LVA,Lithuanian,FALSE,1.2
LBR,Mano,FALSE,7.1999998
MYS,Dusun,FALSE,1.1
MLI,Songhai,FALSE,6.9000001
MRT,Zenaga,FALSE,1.2
MUS,Marathi,FALSE,0.69999999
MEX,Otomí,FALSE,0.40000001
FSM,Wolea,FALSE,3.7
MNG,Dariganga,FALSE,1.4
MOZ,Tswa,FALSE,6
MMR,Chin,FALSE,2.2
NAM,Caprivi,FALSE,4.6999998
NPL,Newari,FALSE,3.7
NGA,Kanuri,FALSE,4.0999999
PAK,Balochi,FALSE,3
PAN,Arabic,FALSE,0.60000002
MNP,Carolinian,FALSE,4.8000002
FRA,Turkish,FALSE,0.40000001
ROM,Serbo-Croatian,FALSE,0.1
SWE,Norwegian,FALSE,0.5
DEU,Polish,FALSE,0.30000001
ZMB,Nsenga,FALSE,4.3000002
SEN,Soninke,FALSE,1.3
SLE,Ful,FALSE,3.8
SDN,Zande,FALSE,2.7
TWN,Paiwan,FALSE,0.30000001
TZA,Nyakusa,FALSE,5.4000001
DNK,Swedish,FALSE,0.30000001
THA,Kuy,FALSE,1.1
TGO,Moba,FALSE,5.4000001
TCD,Hadjarai,FALSE,6.6999998
CZE,Silesiana,FALSE,0.40000001
UGA,Lango,FALSE,5.9000001
UKR,Belorussian,FALSE,0.30000001
HUN,Slovak,FALSE,0.1
UZB,Tatar,FALSE,1.8
RUS,Chechen,FALSE,0.60000002
VNM,Khmer,FALSE,1.4
USA,Chinese,FALSE,0.60000002
AGO,Luvale,FALSE,3.5999999
AUS,Serbo-Croatian,FALSE,0.60000002
BGD,Tripuri,FALSE,0.1
BEN,Ful,FALSE,5.5999999
ZAF,Southsotho,FALSE,7.5999999
ETH,Walaita,FALSE,2.8
PHL,Pampango,FALSE,3
GIN,Loma,FALSE,2.3
IDN,Bugi,FALSE,2.2
IND,Gujarati,FALSE,4.8000002
IRN,Balochi,FALSE,2.3
ITA,Slovene,FALSE,0.2
AUT,Czech,FALSE,0.2
CMR,Maka,FALSE,4.9000001
CAN,Spanish,FALSE,0.69999999
KEN,Meru,FALSE,5.5
CHN,Yi,FALSE,0.60000002
KGZ,Tadzhik,FALSE,0.80000001
COD,Rundi,FALSE,3.8
LBR,Loma,FALSE,5.8000002
MOZ,Chuabo,FALSE,5.6999998
MMR,Kachin,FALSE,1.4
NAM,San,FALSE,1.9
NPL,Hindi,FALSE,3
NGA,Edo,FALSE,3.3
PAK,Hindko,FALSE,2.4000001
SLE,Kuranko,FALSE,3.4000001
SDN,Bari,FALSE,2.5
TZA,Chaga and Pare,FALSE,4.9000001
DNK,Norwegian,FALSE,0.30000001
TGO,Naudemba,FALSE,4.0999999
TCD,Tandjile,FALSE,6.5
CZE,Romani,FALSE,0.30000001
UGA,Lugbara,FALSE,4.6999998
UKR,Polish,FALSE,0.1
RUS,Mordva,FALSE,0.5
VNM,Nung,FALSE,1.1
USA,Tagalog,FALSE,0.40000001
AGO,Ambo,FALSE,2.4000001
AUS,German,FALSE,0.60000002
ZAF,Tsonga,FALSE,4.3000002
PHL,Pangasinan,FALSE,1.8
IDN,Banja,FALSE,1.8
IND,Kannada,FALSE,3.9000001
IRN,Arabic,FALSE,2.2
ITA,Romani,FALSE,0.2
AUT,Romanian,FALSE,0.2
CMR,Masana,FALSE,3.9000001
CAN,Portuguese,FALSE,0.69999999
KEN,Nyika,FALSE,4.8000002
CHN,Tujia,FALSE,0.5
COD,Teke,FALSE,2.7
LBR,Malinke,FALSE,5.0999999
MOZ,Ronga,FALSE,3.7
MMR,Kayah,FALSE,0.40000001
NAM,German,FALSE,0.89999998
NGA,Tiv,FALSE,2.3
PAK,Brahui,FALSE,1.2
SLE,Yalunka,FALSE,3.4000001
SDN,Fur,FALSE,2.0999999
TZA,Luguru,FALSE,4.9000001
TGO,Gurma,FALSE,3.4000001
TCD,Gorane,FALSE,6.1999998
CZE,Hungarian,FALSE,0.2
UGA,Gisu,FALSE,4.5
RUS,Kazakh,FALSE,0.40000001
VNM,Miao,FALSE,0.89999998
USA,Polish,FALSE,0.30000001
AGO,Luchazi,FALSE,2.4000001
ZAF,Swazi,FALSE,2.5
PHL,Maguindanao,FALSE,1.4
IDN,Bali,FALSE,1.7
IND,Malajalam,FALSE,3.5999999
IRN,Bakhtyari,FALSE,1.7
CAN,Punjabi,FALSE,0.69999999
KEN,Masai,FALSE,1.6
CHN,Mongolian,FALSE,0.40000001
COD,Boa,FALSE,2.3
MOZ,Marendje,FALSE,3.5
NGA,Ijo,FALSE,1.8
SDN,Chilluk,FALSE,1.7
TZA,Shambala,FALSE,4.3000002
UGA,Acholi,FALSE,4.4000001
RUS,Avarian,FALSE,0.40000001
VNM,Man,FALSE,0.69999999
USA,Korean,FALSE,0.30000001
ZAF,Venda,FALSE,2.2
PHL,Maranao,FALSE,1.3
IND,Orija,FALSE,3.3
IRN,Turkmenian,FALSE,1.6
CAN,Ukrainian,FALSE,0.60000002
KEN,Turkana,FALSE,1.4
CHN,Tibetan,FALSE,0.40000001
COD,Chokwe,FALSE,1.8
MOZ,Nyanja,FALSE,3.3
NGA,Bura,FALSE,1.6
SDN,Lotuko,FALSE,1.5
TZA,Gogo,FALSE,3.9000001
UGA,Rwanda,FALSE,3.2
RUS,Mari,FALSE,0.40000001
USA,Vietnamese,FALSE,0.2
ZAF,Ndebele,FALSE,1.5
IND,Punjabi,FALSE,2.8
CAN,Dutch,FALSE,0.5
CHN,Puyi,FALSE,0.2
TZA,Ha,FALSE,3.5
RUS,Udmur,FALSE,0.30000001
USA,Japanese,FALSE,0.2
IND,Asami,FALSE,1.5
CAN,Eskimo Languages,FALSE,0.1
CHN,Dong,FALSE,0.2
RUS,Belorussian,FALSE,0.30000001
USA,Portuguese,FALSE,0.2
